User,Text,Date,Favorites,Retweets,Mentions,HashTags
jairbolsonaro,"Na programação do Festival de Inverno de Garanhuns/PE, a exibição da peça ""O Evangelho segundo Jesus, a rainha dos céus."" A quem interessa retratar a imagem de Cristo como transexual? Isso é liberdade de expressão? É arte? É cultura? Nosso repúdio e protesto. Deus salve o Brasil.",2018-06-30 21:13:39+00:00,1511,7492,,
jairbolsonaro,Em 1974: Academia Militar das Agulhas Negras (AMAN) .,2018-06-30 11:15:38+00:00,757,7066,,
jairbolsonaro,"O brasileiro respira aliviado com a decisão do STF pela não obrigatoriedade do imposto sindical? Sim, mas ainda é muito pouco para quem trabalha grande parte do ano só para pagar tributos e sustentar a máquina corrupta que não traz retorno algum para nosso país.",2018-06-29 14:54:33+00:00,2131,11049,,
jairbolsonaro,Obrigado Fortaleza- CE. Um grande abraço ao Gigante Nordeste!,2018-06-28 16:26:17+00:00,1228,5718,,
jairbolsonaro,Tire suas conclusões!,2018-06-28 12:18:15+00:00,1016,5166,,
jairbolsonaro,"O dia de hoje marca exatos 50 anos da morte do Soldado Mario Kozel filho, assassinado em um atentado com carro-bomba organizado pelo grupo comunista e terrorista Vanguarda Popular Revolucionária, ao qual fazia parte Dilma Rousseff.",2018-06-26 20:42:12+00:00,2489,9907,,
jairbolsonaro,- PESQUISA ELEIÇÕES PRESIDENCIAIS - ( MINAS GERAIS ),2018-06-26 13:28:18+00:00,847,4422,,
jairbolsonaro,Link no youtube:,2018-06-25 21:32:00+00:00,24,162,,
jairbolsonaro,"Sem fake news e distorções maldosas, propostas e ideias de Bolsonaro ganham simpatia das mulheres.",2018-06-25 20:02:05+00:00,1439,6406,,
jairbolsonaro,Mais um fakenews da imprensa e dos canalhas! A VERDADE SOBRE OS DEBATES. Vídeo de muitos dias atrás!,2018-06-25 12:30:21+00:00,900,3506,,
jairbolsonaro,Esse garoto manja de futebol! Kkk ,2018-06-25 12:11:16+00:00,1426,7696,,
jairbolsonaro,Para a direita e para cima! ,2018-06-24 15:23:21+00:00,863,6429,,
jairbolsonaro,"Um chefe de Estado deve tomar posições, decidir, mostrar a todos sua verdadeira face. Sempre me posicionei contra a liberação das drogas e aborto. Marina ao sugerir plebiscito, sem dizer sua posição para temas tão relevantes, se esquiva e lava suas mãos no politicamente correto.",2018-06-23 11:32:36+00:00,1834,9201,,
jairbolsonaro,- Parabéns Polícia Militar do Estado do Rio de Janeiro.,2018-06-22 15:10:53+00:00,1366,7928,,
jairbolsonaro,- Obrigado Campina Grande/PB. - Um abraço Nordeste. . Em deslocamento para Patos/PB,2018-06-22 00:32:21+00:00,885,4686,,
jairbolsonaro,A fakenews de todo dia: a sujeira atinge limites estratosféricos a ponto de tudo que possa ser negativo no mundo quando não descontextualizam tentam associar de um jeito ou de outro ao nome de Bolsonaro. Por que será?,2018-06-21 13:22:02+00:00,771,4580,,
jairbolsonaro,Os Estados Unidos acabam de deixar o tendencioso e parcial Conselho de Direitos Humanos da ONU. Boa noite a todos!,2018-06-20 01:28:03+00:00,2066,12686,,
jairbolsonaro,"Tenho independência para trabalhar e planejar. Já recusei diversas ajudas financeiras significativas que pudessem acabar com essa independência. Não quero dever nada pra ninguém, não há governo que corresponda positivamente assim. Ou chego ao poder independente ou não chego!",2018-06-18 18:36:57+00:00,2753,12853,,
jairbolsonaro,"Parabéns Colômbia e bom governo @IvanDuque ! O Foro de SP da máfia bolivariana precisa ser combatido e a população da América do Sul vem dando seu recado! Logo mais, se Deus quiser, no Brasil! ",2018-06-18 00:53:00+00:00,919,4960,@IvanDuque,
jairbolsonaro,"Na Globonews Jair Bolsonaro chama-se ""1° LUGAR""",2018-06-17 21:02:33+00:00,1975,7871,,
jairbolsonaro,Coletiva de imprensa filmada por nós. Elucidamos muitas fakenews e outros pontos neste evento. Assista:,2018-06-29 09:53:08+00:00,341,1379,,
jairbolsonaro,Grato pela consideração @JanainaDoBrasil (Janaína Paschoal).,2018-06-29 09:08:40+00:00,719,3346,@JanainaDoBrasil,
jairbolsonaro,NO CEARÁ!!!,2018-06-29 02:11:54+00:00,1021,4950,,
jairbolsonaro,BOM DIA A TODOS! ,2018-06-28 10:01:49+00:00,520,3207,,
