User,Text,Date,Favorites,Retweets,Mentions,HashTags
naosalvo,Já tem tio bêbado perdendo o dedão com rojão,2015-12-31 23:28:14+00:00,212,281,,
naosalvo,"Não vou corrigir não, já ta acabando o ano msm, deixa errado ai",2015-12-31 23:16:47+00:00,16,123,,
naosalvo,"Nossa eu escrevi 2026...significa que 2016 vai ser uma merda...droga, desculpa por esse erro que vai comprometer o ano :(",2015-12-31 23:15:59+00:00,30,176,,
naosalvo,"Que 2026 seja um ano melhor que 2015 e pior que 2012 pra todos! (2012 foi muito legal, nem precisava tanto",2015-12-31 23:13:20+00:00,69,186,,
naosalvo,"Os bobão do ""última cagada do ano"" agora tem snapchat pra incomodar ainda mais",2015-12-31 23:10:25+00:00,30,103,,
naosalvo,Eu ouvi um amém?,2015-12-31 22:43:54+00:00,137,167,,
naosalvo,Todos deveriam ir pra praia com roupa branca e dourada / azul e roxa pra dar aquela pancadaria épica de discussão e resolver o dilema 2015,2015-12-31 18:45:48+00:00,131,225,,
naosalvo,"@cellbit mas as pessoas criam contas dizendo ter 18 pra não ter nenhum bloqueio, essas estatísticas n ajuda mto pra saber o real :S",2015-12-31 18:43:14+00:00,9,177,@cellbit,
naosalvo,"@aline_aliline sim, tem no YouTube",2015-12-31 18:41:07+00:00,0,1,,
naosalvo,Caralhomano nunca vi fogo assim em prédio! Em pé! 594737 andares,2015-12-31 18:03:23+00:00,24,100,,
naosalvo,@ricardokuster_ hahaha,2015-12-31 17:49:10+00:00,0,0,,
naosalvo,Hoje farei no twitter a minha clássica e anual História de Ano Novo Em Que Virei Um Xmen. Será ao anoitecer....vc vai se emocionar...,2015-12-31 17:47:01+00:00,20,197,,
naosalvo,Eu achei que esse filme Segurança de Shopping seria ruim mas ele é bem pior que ruim,2015-12-31 17:42:00+00:00,57,204,,
naosalvo,Apenas tentando contabilizar qts Finais de Ano eu já passei chocado com o comercial do Dolly,2015-12-31 12:14:13+00:00,136,273,,
naosalvo,Me identifiquei Será que ta solteira agora?,2015-12-30 23:00:01+00:00,49,104,,
naosalvo,Qd disse q ia fazer youtube era sério kkk @YudiTamashiiro e @CELSOCAVALLINI se inscreve ja https://www.youtube.com/channel/UCBL8Ul0nu4fRMJ5Ytng-Ipw?sub_confirmation=1,2015-12-30 17:44:54+00:00,33,316,@YudiTamashiiro @CELSOCAVALLINI,
naosalvo,@marigraciolli hahahahah,2015-12-30 01:17:40+00:00,1,1,@marigraciolli,
naosalvo,"E vc, o que faria se o tel tocasse agora?",2015-12-30 01:16:43+00:00,129,208,,
naosalvo,@reginacasebre noss,2015-12-29 22:52:17+00:00,0,0,@reginacasebre,
naosalvo,Agora fico imaginando uma Butterfree fazendo textao de como é evoluída e que não faz mais essas coisas de gentinha Metapod e Caterpie,2015-12-29 22:51:49+00:00,117,178,,
naosalvo,@r0cc0 isso já valeu toda a década,2015-12-31 23:15:06+00:00,0,3,@r0cc0,
naosalvo,Já começou a briga,2015-12-31 18:47:05+00:00,7,64,,
naosalvo,@cellbit ue,2015-12-31 18:44:21+00:00,0,48,@cellbit,
naosalvo,@francianesilva de 10 em 10 seg vou ficar 4 dias lá hahahah,2015-12-31 18:40:53+00:00,0,1,@francianesilva,
