User,Text,Date,Favorites,Retweets,Mentions,HashTags
naosalvo,"Tem uns caras que são esforçados né uau qta coisa em comum, vamos transar",2018-03-31 16:13:28+00:00,388,1645,,
naosalvo,O homem quando esta em paz não quer guerra com ninguém...,2018-03-31 14:57:31+00:00,1124,4742,,
naosalvo,As vezes eu clico numas coisas no youtube só pra passar raiva,2018-03-31 14:22:08+00:00,103,1051,,
naosalvo,Queria informar que amanhã é oficialmente o meu aniversario. Mesmo sendo 1 de abril. Não é mentira. Ja avisando desde ja pq durante td minha vida eu passo mais tempo tendo que provar que recebendo parabéns :/,2018-03-31 14:12:16+00:00,59,2282,,
naosalvo,O Brasil que eu quero para o futuro são cartórios que entendam melhor quando os país vão dar os nomes pros filhos...,2018-03-31 04:56:58+00:00,803,2844,,
naosalvo,Eu devia estar dormindo,2018-03-31 04:21:32+00:00,359,1366,,
naosalvo,Mts bitcoins,2018-03-30 23:22:18+00:00,0,8,,
naosalvo,Se tiver me chama,2018-03-30 22:57:12+00:00,0,2,,
naosalvo,Fargo é mto bom vsf Começando a terceira temporada aqui,2018-03-30 22:29:08+00:00,10,298,,
naosalvo,Exatamente como eu sou o ano todo,2018-03-30 15:27:29+00:00,209,1100,,
naosalvo,"Vai la Jesus, faz churrasco sim que não da nada não",2018-03-30 14:24:16+00:00,318,1161,,
naosalvo,Todos os homens são iguais Não existe homem perf.............uau,2018-03-30 04:41:13+00:00,1568,5187,,
naosalvo,Sou onipresente,2018-03-29 16:33:11+00:00,0,32,,
naosalvo,"O brasileiro odeia o japonês, estou cada dia mais convencido disso",2018-03-29 15:25:07+00:00,1857,7050,,
naosalvo,"Os currículos não se entregam jogando games online de madrugada, vamo dormir ae kct! To falando contigo msm, ce sabe",2018-03-29 04:24:22+00:00,220,1550,,
naosalvo,,2018-03-29 03:19:16+00:00,179,547,,
naosalvo,Gols nos acréscimos e disputa nos penaltis.....n tenho mais idade não meu deus.. deu uma pontada aqui,2018-03-29 03:04:44+00:00,212,985,,
naosalvo,ESTOU MORRIDO,2018-03-29 02:58:19+00:00,123,383,,
naosalvo,"Vi um video dos filhos do Thiago Silva @tsilva3 tds alucinados abrindo o pacotinho de figurinha e achando o próprio pai e lembrei de uma história que aconteceu comigo em 2014, na ultima copa Demorei mas encontrei o post aqui, lê ai hahahahah ",2018-03-28 23:34:18+00:00,387,3415,@tsilva3,
naosalvo,Jesus era o Martinho da Vila,2018-03-28 21:27:02+00:00,237,1193,,
naosalvo,exato huauhhuasufdhuiashudif,2018-03-31 16:15:13+00:00,0,30,,
naosalvo,A porra do nome do vídeo tá ai ô caraio vai la e digita eu não sou tua mãe!!!!!!!! Pega,2018-03-31 14:26:09+00:00,0,30,,
naosalvo,Fdp,2018-03-31 14:24:36+00:00,1,18,,
naosalvo,Pois é,2018-03-31 14:23:46+00:00,0,25,,
naosalvo,Faço isso desde 2009 no twitter... cansei hahahah,2018-03-31 14:23:22+00:00,0,26,,
naosalvo,Vou te falar que o fone ta tortuguita funciona la no qg ha uns 3 anos,2018-03-31 04:57:44+00:00,1,112,,
naosalvo,"Não vou mais te convidar pra minha banda, otário",2018-03-31 00:14:48+00:00,2,58,,
naosalvo,Uai pq? Tem kpop,2018-03-30 23:47:44+00:00,3,43,,
naosalvo,Mas vc ta vendo os sites que eu to pesquisando por acaso? Hahaha,2018-03-30 23:10:51+00:00,0,18,,
naosalvo,Errou. Vou criar minha própria banda,2018-03-30 23:06:50+00:00,0,14,,
naosalvo,Oficialmente procurando informações pra viajar pra Coréia,2018-03-30 23:00:47+00:00,12,496,,
naosalvo,Anos de vida,2018-03-30 22:57:51+00:00,0,6,,
naosalvo,O mais engraçado foi um de um tal de @naosalvo com um tal de @magalzaoshow,2018-03-30 15:19:50+00:00,0,37,@naosalvo @magalzaoshow,
naosalvo,Fala que é esperma,2018-03-30 00:17:58+00:00,0,27,,
